times,price,index
1579012013564.0,8639.95,0.605945255933
1579012912185.0,8680.0,0.602093256851
1579013823928.0,8706.69,0.6006449885233334
1579014725568.0,8700.01,0.5944478079176666
1579015632983.0,8690.0,0.5987018549349999
1579016541552.0,8714.39,0.5877540631133332
1579017436749.0,8688.79,0.5933373155749999
1579018325417.0,8689.03,0.5801543454086667
1579019234052.0,8584.73,0.6082670816646667
1579020134115.0,8567.0,0.6188919019066667
1579021025769.0,8613.97,0.6064457888046667
1579021932733.0,8681.69,0.5849940587366667
1579022832550.0,8755.11,0.5776526196449999
1579023727041.0,8732.73,0.5799937808476666
1579026425434.0,8711.52,0.5658131361053332
1579027321232.0,8816.7,0.5661918531516666
1579028222989.0,8750.21,0.5828083933963333
1579029120158.0,8776.61,0.56965193462
1579030016364.0,8744.86,0.5813064344283333
1579030916919.0,8734.02,0.5908323371609999
1579031817900.0,8769.99,0.5758383001269999
1579032724672.0,8775.55,0.587027898605
1579033615180.0,8740.25,0.5910293425409999
1579034522480.0,8719.3,0.5930901634736666
1579035423363.0,8743.06,0.5779186900486667
1579036327312.0,8690.3,0.60048369706
1579037220149.0,8723.05,0.5847913513766666
1579038123008.0,8736.78,0.573165704181
1579039020323.0,8733.6,0.5748879759066665
1579039937876.0,8745.0,0.5704135053506666
1579040823551.0,8746.46,0.5769022941393332
1579041724357.0,8766.85,0.5749577535136666
1579042625958.0,8760.91,0.5822357095566666
1579043521007.0,8748.01,0.5871973211859999
1579044425918.0,8774.88,0.5811181982443333
1579045323769.0,8840.67,0.565249930169
1579046224354.0,8820.83,0.5691483558616666
1579047122271.0,8827.32,0.5625210761306666
1579048027250.0,8840.27,0.567770143807
1579048918455.0,8890.95,0.5458209611286667
1579051610380.0,8728.83,0.584673094625
1579052510889.0,8750.38,0.581354751868
1579053414145.0,8757.89,0.5789475751716666
1579054310065.0,8768.46,0.5809524141936667
1579055207637.0,8809.02,0.5774089778876667
1579056109875.0,8779.53,0.5902522196179999
1579057012091.0,8802.61,0.585299112425
1579057911319.0,8801.45,0.5790019502416667
1579058820760.0,8767.79,0.6344274435249999
1579059715462.0,8748.26,0.7002817432656667
1579060628994.0,8756.8,0.7061939813356667
1579061509191.0,8727.34,0.7190645387483333
1579062409020.0,8651.82,0.7312345404913333
1579063312250.0,8596.42,0.7485790105903333
1579064212863.0,8634.01,0.7365343017826667
1579065110951.0,8582.83,0.7420450020506665
1579066013829.0,8598.59,0.7395133859516666
1579066914300.0,8630.01,0.737158005284
1579067815681.0,8632.01,0.7441315621609998
1579068712409.0,8420.92,0.7561853345383333
1579070517141.0,8625.0,0.7476338982326666
1579071414132.0,8661.19,0.7407386634096667
1579072314611.0,8658.72,0.7393534768996667
1579073216863.0,8633.11,0.7316075002733333
1579074113992.0,8622.44,0.7396598507316666
1579075010449.0,8617.34,0.7484038046629999
1579075915156.0,8605.92,0.7443691143753332
1579076812470.0,8621.02,0.7357475830493332
1579077712778.0,8640.03,0.7307591656519999
1579078610433.0,8653.02,0.7309704368853333
1579079514702.0,8624.04,0.747949314294
1579080411982.0,8645.7,0.7515930540476666
1579081311692.0,8638.24,0.7634858876696665
1579082211586.0,8656.03,0.7575750082320001
1579083118164.0,8731.72,0.7386015607296667
1579084019384.0,8720.78,0.7417555098443332
1579084920266.0,8734.17,0.741156692418
1579085813267.0,8740.14,0.7322570694150001
1579086713116.0,8785.92,0.716746179082
1579087617765.0,8760.03,0.723491915072
1579088518917.0,8768.61,0.7153178081613333
1579089417232.0,8755.07,0.7140919952393333
1579090316543.0,8704.45,0.709370159747
1579091218691.0,8742.65,0.6907651879796667
1579092130542.0,8763.35,0.6453476963046666
1579093019292.0,8741.48,0.6587617064236667
1579093920812.0,8747.4,0.6627012448973333
1579100225859.0,8841.36,0.6306568386903333
1579101126162.0,8852.5,0.6264652859623333
1579102026741.0,8828.27,0.643059376602
1579102917231.0,8798.32,0.6470237949323333
1579103815578.0,8743.58,0.6760173219776666
1579104716293.0,8747.27,0.679622309633
1579105617697.0,8775.0,0.6698849503036667
1579109226041.0,8748.29,0.6766903969149999
1579110111961.0,8756.75,0.6769977227433333
