times,price,index
1554076556654.0,58.61,0.15841704073478782
1554077463719.0,58.85,0.12733340981271568
1554078355995.0,58.85,0.2723453402106986
1554079257883.0,58.31,0.3471975855324524
1554080176713.0,58.9,0.2592006640796094
1554081056307.0,59.36,0.17475945424219097
1554081957530.0,59.02,0.23388223391912355
1554082858470.0,59.0,0.25220104802376714
1554083755181.0,58.8,0.27957620042609677
1554084663638.0,58.99,0.2350294822013624
1554085555863.0,59.09,0.21302435246633697
1554086454774.0,59.35,0.1748536103557029
1554087354094.0,59.75,0.10891597404209118
1554088287709.0,59.99,0.07267731466183884
1554089186716.0,60.1,0.07949741241702556
1554090072767.0,60.6,-0.002492542062429308
1554090979259.0,60.71,-0.02420583436033847
1554091856801.0,60.69,-0.016865150246459897
1554092757881.0,60.99,-0.052803186067561673
1554093650629.0,60.16,0.04956921155055637
1554094555699.0,60.44,0.022486446633774682
1554095464644.0,60.44,0.11693085649035345
1554096355497.0,60.74,0.08546398846131865
1554097265914.0,60.74,0.07422471300378967
1554098158076.0,60.74,0.1374256756509389
1554099071024.0,60.62,0.14718683402415425
1554099972983.0,61.26,0.03710264412809347
1554100864661.0,61.26,0.024864518985623786
1554101773442.0,61.19,0.04412080484093036
1554102669743.0,61.04,0.07516150446134319
1554103639182.0,61.13,0.06055916096021586
1554104472842.0,61.49,-0.0009765226247755612
1554105367687.0,61.61,-0.021914606441605873
1554106257440.0,61.24,0.04618743885671345
1554107159958.0,61.24,0.026598717594296613
1554108074826.0,61.24,0.06667556765979554
1554108958651.0,61.37,0.060645156850470144
1554109854085.0,61.37,0.0745530825459137
1554110754969.0,61.49,0.04818911367211464
1554111657731.0,61.75,0.009960751407721053
1554112556135.0,61.9,-0.011505829838557129
1554113459563.0,61.9,-0.01416148789959787
1554114356152.0,62.13,-0.07274855751710187
1554115257798.0,62.45,-0.1291778562156977
1554116153356.0,62.49,-0.1338241042129404
1554117056422.0,62.98,-0.2525724199419882
1554117950716.0,62.76,-0.24364939220158352
1554118852053.0,62.54,-0.21484333752493798
1554119757624.0,62.18,-0.1456764311715519
1554120653392.0,62.18,-0.14026474143177298
1554121548282.0,61.95,-0.10943208965428097
1554122451107.0,61.95,-0.08140871313745736
1554123350795.0,61.95,-0.10845824331171237
1554124269446.0,63.14,-0.28843276703545806
1554125151413.0,62.91,-0.2580099052367025
1554126049601.0,62.69,-0.2028296853146322
1554126950142.0,62.14,-0.16666618882499298
1554127851763.0,62.15,-0.17120569750708958
1554128750227.0,61.62,-0.09659464375908945
1554129652357.0,61.78,-0.11195122567611397
1554130552346.0,61.7,-0.08523974802511733
1554131458167.0,61.79,-0.10822575831071915
1554132358465.0,61.39,-0.05229030540838776
1554133249938.0,61.39,-0.06625914302046816
1554134163594.0,61.28,-0.05544138039669405
1554135066755.0,61.09,0.019936212120897395
1554135962720.0,61.31,0.0035618392942520904
1554136857956.0,62.5,-0.21895645978161177
1554137752204.0,63.18,-0.30507523416432963
1554138682585.0,63.34,-0.39307173007971835
1554139566972.0,63.35,-0.369654944578218
1554140468280.0,63.35,-0.36780340760495267
1554141350470.0,63.35,-0.4082080283411858
1554142257809.0,63.18,-0.36315507308897577
1554143158507.0,63.49,-0.39507880882830954
1554144058161.0,62.98,-0.29297720589584697
1554144958413.0,63.08,-0.2942644203366449
1554145863944.0,62.67,-0.21307572533236557
1554146771857.0,62.52,-0.19659258930538698
1554147654394.0,62.71,-0.22366826284915012
1554148555435.0,62.56,-0.19165872405569445
1554149465969.0,62.26,-0.115356791941813
1554150353060.0,62.58,-0.11090572165275926
1554151249671.0,62.94,-0.17473922961542143
1554152157815.0,62.72,-0.1586745183077988
1554153058171.0,62.45,-0.05805453512606835
1554153952867.0,62.66,-0.08230888467132054
1554154850435.0,62.66,-0.09594295778131541
1554155765004.0,62.74,-0.1429829747626956
1554156653180.0,62.71,-0.12516561244525995
1554157550245.0,62.74,-0.12047182741964554
1554158452051.0,62.74,-0.10744447151406628
1554159354342.0,62.73,-0.10644935757880193
1554160258423.0,62.73,-0.09363121240519051
1554161153520.0,62.65,-0.08674953963799092
1554162057757.0,62.74,-0.0855429857378415
