times,price,index
1554940689416.0,72.0,1.1092660963651568
1554941594461.0,72.28,1.108573729640295
1554942492998.0,72.43,1.1082090209017479
1554943384631.0,72.49,1.0912102352939697
1554944291281.0,71.9,1.120996029421277
1554945195711.0,71.88,1.1391149502040374
1554946098965.0,71.25,1.1713640473561964
1554947002526.0,71.25,1.1542003511300987
1554947894710.0,71.55,1.1196356150768665
1554948808456.0,71.55,1.1277994130973268
1554949698782.0,71.4,1.1419369776768256
1554950598145.0,70.7,1.1687363242025284
1554951522978.0,70.9,1.1657811311226947
1554952414082.0,70.93,1.177280701715991
1554953313665.0,70.56,1.1963678378875204
1554954207776.0,69.6,1.2505430046733312
1554955109323.0,67.9,1.355740235491148
1554956010647.0,68.8,1.2956809760719596
1554956905892.0,69.1,1.2987572383868435
1554957804590.0,69.27,1.2757396615410843
1554958697871.0,69.14,1.3128812695501868
1554959594291.0,69.14,1.3246872936518643
1554960495392.0,69.13,1.2913425471445854
1554961393697.0,69.13,1.313307026658638
1554962289298.0,68.99,1.2856558634031467
1554963199147.0,69.32,1.2571464405393569
1554964100050.0,69.49,1.2616318897090666
1554964996119.0,69.08,1.2657136637722062
1554965923827.0,69.25,1.261693132039207
1554966823731.0,69.62,1.2612322357074686
1554967696896.0,69.51,1.287193417635685
1554968601830.0,69.51,1.2921336800058243
1554969512315.0,69.42,1.2918711865633477
1554970401768.0,69.27,1.303545422978718
1554971302671.0,68.33,1.3369158301516884
1554972199581.0,67.93,1.3584712059926445
1554973111398.0,67.93,1.3589669595697291
1554974009091.0,68.5,1.3197790925644763
1554974899943.0,68.93,1.283801658669437
1554975807307.0,68.65,1.29458918838574
1554976708176.0,68.26,1.3099343496880407
1554977619596.0,65.84,1.5303435971175894
1554978517239.0,66.6,1.4353609441582695
1554979420447.0,66.92,1.391626931919429
1554980340125.0,66.16,1.4760595832280854
1554981207673.0,66.54,1.4440688602900564
1554982125778.0,65.71,1.534698296302293
1554983042892.0,65.48,1.5516223513911864
1554983908861.0,64.82,1.634722596299793
1554984817511.0,65.8,1.5274568703859406
1554985705351.0,66.64,1.4490289557513605
1554986610527.0,65.97,1.497548855822528
1554987513337.0,66.11,1.4737336094818332
1554988403122.0,66.5,1.4624681045899124
1554989315477.0,66.74,1.4601378696057021
1554990227927.0,66.9,1.4330281980037787
1554991123394.0,66.35,1.464146156195859
1554992017061.0,66.25,1.4819019760414254
1554992901324.0,66.13,1.4779850427294368
1554993800958.0,65.65,1.5143109757292994
1554994699828.0,67.02,1.3826729896982215
1554995607546.0,67.24,1.3788914440485296
1554996506135.0,67.48,1.3651336992513332
1554997402869.0,68.53,1.2935626857508487
1554998292245.0,68.69,1.2900531426777562
1554999198085.0,68.69,1.2835930390098582
1555000100025.0,68.69,1.280636905710557
1555000995604.0,68.51,1.303252717307967
1555001889163.0,68.71,1.3019486569774446
1555002834258.0,69.27,1.2768594053459137
1555003707158.0,69.27,1.2775300702883892
1555004588794.0,69.88,1.2172883818984015
1555005502514.0,70.25,1.1953249296721524
1555006402030.0,69.59,1.2357833904382602
1555007291401.0,69.83,1.216000450528814
1555008203730.0,69.6,1.2344152356444018
1555009102167.0,70.21,1.2118600339389862
1555009989558.0,70.22,1.2224350667205437
1555010888890.0,70.22,1.2075550123480208
1555011796844.0,70.0,1.2250804175410661
1555012694724.0,70.21,1.2209337824908453
1555013592841.0,70.22,1.2340231643718775
1555014490626.0,70.21,1.2417945121897807
1555015393263.0,70.21,1.2609406869904196
1555016298129.0,70.16,1.2525237715228092
1555017198375.0,69.41,1.2904704650708068
1555018086679.0,69.2,1.299201082776139
1555018987243.0,69.53,1.2701565013503497
1555019890513.0,69.39,1.2729611767529019
1555020786564.0,69.39,1.2740520441053942
1555021683438.0,69.43,1.2753205712217845
1555022584084.0,69.43,1.2626932301049443
1555023487483.0,69.42,1.281459071457335
1555024394735.0,69.75,1.255563831237989
1555025291956.0,69.82,1.2536146150861265
1555026188875.0,69.82,1.248416666704787
