times,price,index
1554940703636.0,72.0,0.8550043905251129
1554941608604.0,72.28,0.855332098525038
1554942507050.0,72.43,0.8634508565250667
1554943398784.0,72.49,0.8398819827087746
1554944305442.0,71.9,0.8628287040885076
1554945209978.0,71.88,0.8722552153000147
1554946113223.0,71.25,0.9000015147394218
1554947016700.0,71.25,0.8856356733890388
1554947908926.0,71.55,0.8621490633277104
1554948822646.0,71.55,0.8625516620418939
1554949713049.0,71.4,0.8786176863265794
1554950612403.0,70.7,0.9076698945766496
1554951537282.0,70.9,0.9181682343742547
1554952428329.0,70.93,0.9258615690974134
1554953327915.0,70.56,0.9432548785272981
1554954221985.0,69.6,0.9886199643043734
1554955123590.0,67.9,1.0687210679679469
1554956024972.0,68.8,1.0229549338081831
1554956920151.0,69.1,1.0265827667367702
1554957818907.0,69.27,1.0099580228942573
1554958712115.0,69.14,1.0348612600888358
1554959608509.0,69.14,1.0437974005512314
1554960509886.0,69.13,1.0367648044100704
1554961407911.0,69.13,1.0458122676706192
1554962303617.0,68.99,1.035814319382842
1554963213361.0,69.32,1.0249623022456913
1554964114405.0,69.49,1.0291199739824126
1554965010372.0,69.08,1.0328849370525006
1554965938110.0,69.25,1.0187847308191396
1554966838032.0,69.62,1.0165750832278848
1554967711220.0,69.51,1.0337970945834916
1554968616075.0,69.51,1.0400876634869352
1554969526670.0,69.42,1.0520616407782524
1554970416126.0,69.27,1.0471146262949727
1554971316912.0,68.33,1.0766220094802401
1554972214024.0,67.93,1.1070323785190213
1554973125766.0,67.93,1.1151590665737563
1554974023412.0,68.5,1.07058904117177
1554974914235.0,68.93,1.0383273716856016
1554975821691.0,68.65,1.0375487902195708
1554976722423.0,68.26,1.0563229253073902
1554977633950.0,65.84,1.2545906802711295
1554978531653.0,66.6,1.1711064020018396
1554979434900.0,66.92,1.119261399625423
1554980354350.0,66.16,1.1875854675170232
1554981222007.0,66.54,1.1687605117194275
1554982140089.0,65.71,1.241597772619419
1554983057255.0,65.48,1.256668099904957
1554983923172.0,64.82,1.325002572974882
1554984831823.0,65.8,1.219639011889858
1554985719717.0,66.64,1.165134976925584
1554986624886.0,65.97,1.2161462501223714
1554987528572.0,66.11,1.1856040965070231
1554988417569.0,66.5,1.1873765703053534
1554989329899.0,66.74,1.187880527995388
1554990242322.0,66.9,1.1609139423046815
1554991137595.0,66.35,1.1927601233746659
1554992031521.0,66.25,1.2075544953743012
1554992915683.0,66.13,1.1974474663837764
1554993815420.0,65.65,1.2252509581419464
1554994714288.0,67.02,1.1117246229037654
1554995621869.0,67.24,1.1085401634092884
1554996520470.0,67.48,1.0969546941063861
1554997417144.0,68.53,1.0366843669480832
1554998306589.0,68.69,1.0337289622549526
1554999212977.0,68.69,1.02828887495567
1555000114344.0,68.69,1.0257994995457325
1555001009973.0,68.51,1.0448443935224987
1555001903539.0,68.71,1.0437462374546902
1555002850476.0,69.27,1.0226184466070853
1555003721535.0,69.27,1.0231832170849595
1555004603283.0,69.88,0.9793190020263495
1555005516814.0,70.25,0.9586459965326465
1555006416350.0,69.59,0.999851383995672
1555007305706.0,69.83,0.9890285815137373
1555008218104.0,69.6,1.013519165415294
1555009116787.0,70.21,0.9714288382720105
1555010003946.0,70.22,0.9815838736514942
1555010903310.0,70.22,0.9707075695978209
1555011811215.0,70.0,0.9849377392406428
1555012709007.0,70.21,0.9904047535627847
1555013607058.0,70.22,1.005165544534526
1555014505075.0,70.21,1.0167210259893062
1555015407703.0,70.21,1.034855625278272
1555016312850.0,70.16,1.052743537251308
1555017212724.0,69.41,1.083888658214518
1555018101149.0,69.2,1.1077784625326734
1555019001719.0,69.53,1.0673745820814917
1555019905097.0,69.39,1.057510264245927
1555020800902.0,69.39,1.0478974629616575
1555021697799.0,69.43,1.0463242599869764
1555022598468.0,69.43,1.0346106508874013
1555023502009.0,69.42,1.0531968923716382
1555024409111.0,69.75,1.0227870518811912
1555025306347.0,69.82,1.0231966259763168
1555026203223.0,69.82,1.01280591763125
