times,price,index
1558656207685.0,7914.23,1.4319179364996302
1558657100111.0,7879.92,1.4254734949575552
1558658002817.0,7843.75,1.451003451748572
1558658882660.0,7850.74,1.4611175495252657
1558659785772.0,7871.71,1.4804124227208468
1558660692619.0,7882.2,1.4740066150604407
1558661611391.0,7932.62,1.4677946562487294
1558662488781.0,7911.79,1.458776257303921
1558663379742.0,7886.59,1.4471990981238052
1558664297269.0,7858.27,1.446352765735291
1558665189030.0,7876.62,1.4342687829481966
1558666087316.0,7862.87,1.4229563032723431
1558666985185.0,7848.79,1.4221236453946586
1558667907200.0,7861.96,1.4383264874627608
1558668789264.0,7837.31,1.459187419360096
1558669693463.0,7850.31,1.3453327358783191
1558670589560.0,7877.27,1.3037729295996157
1558671490586.0,7877.36,1.321718053429802
1558672382864.0,7868.12,1.3337994279308978
1558673273484.0,7855.1,1.3365614076645889
1558674200089.0,7856.47,1.255054025977711
1558675112759.0,7847.25,1.269132788619346
1558676000112.0,7813.58,1.297817597075987
1558676911426.0,7811.12,1.2941935970199359
1558677804456.0,7824.73,1.2977282579291032
1558678706171.0,7841.33,1.2888489212703227
1558679636728.0,7829.83,1.2828596118428346
1558680517438.0,7844.87,1.2807879661628194
1558681389061.0,7850.43,1.2814057285309357
1558682287285.0,7872.38,1.2739875479566634
1558683174844.0,7889.62,1.2862710163155662
1558684084564.0,7894.55,1.2801813165810347
1558685020866.0,7864.82,1.280570029699018
1558685898166.0,7886.04,1.2947566848709415
1558686782280.0,7929.0,1.302462411777132
1558687675076.0,7982.35,1.27259118201569
1558688563153.0,7987.51,1.2784833989211835
1558689477756.0,7964.88,1.2967275385948076
1558690376558.0,7978.6,1.2517778629352594
1558691303782.0,7966.01,1.287715523299837
1558692183153.0,7950.49,1.281360372857252
1558693069949.0,7969.87,1.2796224548995958
1558693989238.0,8022.75,1.254995656773698
1558694883372.0,8025.83,1.2642854273125674
1558695813808.0,7975.67,1.2804231394627055
1558696695767.0,7988.86,1.291127542256335
1558697593945.0,8012.02,1.2962443292169774
1558698497416.0,8060.4,1.271201548706691
1558699382481.0,8019.16,1.3145126267183227
1558700291114.0,8038.47,1.3172964750840037
1558701170277.0,8019.99,1.3222289210708549
1558702099943.0,8019.98,1.3262560527467029
1558702983610.0,8023.91,1.3310000982811407
1558703888564.0,8041.39,1.329295842203715
1558704777887.0,8012.03,1.357875305901355
1558705697217.0,7997.6,1.3421098398430378
1558706585337.0,8010.27,1.3329042345492292
1558707491487.0,7990.9,1.3676677610328414
1558708426470.0,8010.81,1.3394331592710353
1558709281810.0,8014.43,1.3424680564445735
1558710185209.0,8039.05,1.3050971339368709
1558711102573.0,8070.0,1.2803193880901373
1558711994069.0,8129.0,1.2526002344165381
1558712879394.0,8127.1,1.2646718533858696
1558713768847.0,8116.02,1.2502461303450199
1558714711492.0,8111.69,1.2479946019089876
1558715594321.0,8159.23,1.1971063307559697
1558716488483.0,8165.0,1.1819793310765725
1558717375977.0,8143.65,1.2077731767668591
1558718379590.0,8090.0,1.2590474267587062
1558719226900.0,8072.48,1.2496619402711924
1558720092201.0,8091.39,1.2397289674058227
1558720982262.0,8093.43,1.2603184051960903
1558721886837.0,8076.44,1.269462241518392
1558722768780.0,8083.06,1.2579048811447509
1558723696016.0,8061.15,1.2726690510048582
1558724614392.0,8080.68,1.2780517608100948
1558725532328.0,8083.08,1.2834335533542618
1558726410094.0,8027.29,1.2812079410464006
1558727299536.0,8037.0,1.2834502461791912
1558728198606.0,8040.14,1.277798873128707
1558729104399.0,8061.58,1.2809715770832713
1558729980516.0,8080.83,1.2727736919324335
1558730928764.0,8079.4,1.2750010609158073
1558731797509.0,8088.3,1.2800906602375197
1558732706205.0,8109.69,1.2639403122972726
1558733621411.0,8103.77,1.2429792224288576
1558734482462.0,8120.29,1.2525225556507371
1558735390802.0,8065.0,1.2654944985793357
1558736302367.0,8062.11,1.283555956737956
1558737182486.0,8067.76,1.2831222475660147
1558738099955.0,8080.09,1.2522609683946275
1558739033823.0,8066.47,1.2596284142320187
1558739900711.0,8036.55,1.2925965212697792
1558740781597.0,8006.88,1.3075683059896044
1558741712450.0,7966.89,1.2984235586959356
